a bientot,see you soon
a,has (3rd person of avoir)
abord,first
abreuvent,drink (3rd plural)
abritee,sheltered (fem.)
abriter,to shelter
abritée,sheltered (fem.)
accueillant,welcoming
accueille,welcomes
accueillir,to welcome
accumuler,to accumulate
achetez,buy (imperative)
activee,activated (fem.)
activée,activated (fem.)
adieu,farewell
affiche,poster
age,age
agite,"stirs, shakes"
agreable,pleasant
agréable,pleasant
ai,have (1st person of avoir)
ailleurs,elsewhere
aime,"likes, loves"
aimer,to like/love
air,air
aise,"ease, comfort"
ajouter,to add
alle,gone (past participle)
allee,alley
allees,alleys
aller,to go
allé,gone (past participle)
allée,alley
allées,alleys
alors,"so, then"
ami,friend (male)
amie,friend (female)
amis,friends
amitie,friendship
amitié,friendship
amour,love
ancien,"old, former"
ange,angel
anglais,English
anime,animates
animee,lively (fem.)
animée,lively (fem.)
annee,year
annees,years
anniversaire,birthday
année,year
années,years
ans,years of age
antennes,antennae
aout,August
août,August
apercevez,see (2nd plural)
aperitif,pre-dinner drink
appartement,apartment
appele,called
appeler,to call
appelle,calls
appelé,called
apporte,brings
apporter,to bring
apprendre,to learn
apprenez,learn (2nd plural)
apprentissage,learning
apres,after
apres-midi,afternoon
après,after
après-midi,afternoon
apéritif,pre-dinner drink
arbre,tree
arbres,trees
argent,"money, silver"
armoire,wardrobe
arome,aroma
arret,stop
arreter,to stop
arriere,"back, rear"
arriver,to arrive
arrière,"back, rear"
arrêt,stop
arrêter,to stop
arôme,aroma
asseyez,sit (2nd plural imperative)
assez,enough
assiette,plate
assis,seated
assise,seated (fem.)
attend,waits
attendent,wait (3rd plural)
attendre,to wait
attentif,attentive
attire,attracts
au revoir,goodbye
au,"to the, at the"
au-dessus,above
aujourd'hui,today
aujourd,today (part)
aussi,also
aussitot,immediately
aussitôt,immediately
autant,as much
automne,autumn
autre,other
autres,others
auvent,awning
aux,"to the, at the (plural)"
avancer,to advance
avant,before
avec,with
avenue,avenue
avez,have (2nd plural)
avion,airplane
avoir,to have
avons,have (1st plural)
avril,April
bac,"tub, sandbox"
baguette,long thin loaf
baguettes,baguettes
baigne,bathes
balance,sways
balcon,balcony
balcons,balconies
banane,banana
banc,bench
bancs,benches
bandes,strips
banque,bank
bas,"low, bottom"
basse,low (fem.)
bateau,boat
bateau-mouche,river boat
batiment,building
battante,driving (fem.)
bavarder,to chat
beau,"beautiful, handsome"
beaucoup,a lot
bebe,baby
belle,"beautiful (fem.)"
besoin,need
bete,"stupid, animal"
beurre,butter
beurree,buttered (fem.)
beurré,buttered
beurrée,buttered (fem.)
bibliotheque,library/bookshelf
bibliothèque,library/bookshelf
bien,"well, good"
bientot,soon
bientôt,soon
bienvenue,welcome
biere,beer
billet,"ticket, banknote"
biscuit,biscuit
biscuits,biscuits
bise,kiss (cheek)
bière,beer
blanc,white
blanche,white (fem.)
bleu,blue
boeuf,beef
boire,to drink
bois,"wood, I drink"
boisson,drink (noun)
boite,box
bon appetit,"enjoy your meal"
bon appétit,"enjoy your meal"
bon,good
bonbon,sweet/candy
bondees,packed (fem.)
bondées,packed (fem.)
bonheur,happiness
bonjour,"hello, good day"
bonne nuit,good night
bonne,good (fem.)
bonsoir,good evening
borde,borders
bordent,border (3rd plural)
bouche,mouth
boucher,butcher
boucherie,butcher shop
boulanger,baker (male)
boulangere,baker (fem.)
boulangerie,bakery
boulangère,baker (fem.)
bouteille,bottle
boutiques,shops
boîte,box
bras,arm
brasserie,brasserie
bravo,well done
bretagne,Brittany
brillant,brilliant
brille,shines
brillent,shine (3rd plural)
