abadi,eternal
abstrak,abstract
abu abu,gray
acara,"event, program"
ada,"there is, exist, have"
adalah,"is, am, are"
adegan,scene
adik,younger sibling
administrasi,administration
adonan,dough
adopsi,adoption
aduh,ouch
aduk,stir
agak,"somewhat, rather"
agama,religion
agresi,aggression
agresif,aggressive
ahli,expert
air,water
aja,just (informal)
ajak,"invite, ask along"
ajar,"teach, learn"
akan,"will, shall, going to"
akarnya,its roots
akhir,end
akibat,"consequence, result"
akses,access
aksi,action
aktif,active
aku,"I, me"
alam,"nature, world"
alamat,address
alas,"base, mat"
alasan,reason
alat,"tool, device"
album,album
alergi,allergy
alkohol,alcohol
alpukat,avocado
alur,"plot, flow"
amal,"charity, good deed"
aman,safe
ambang,"threshold, brink"
ambil,"take, pick up"
ambisi,ambition
ampun,mercy
an,(suffix: noun)
anak,child
anak-anak,children
analisis,analysis
ancaman,threat
anda,you (formal)
aneh,"strange, weird"
angan,"dream, fantasy"
anggota,"member, limb"
anggur,"grape, wine; unemployed"
angin,wind
angka,"number, digit"
angkasa,sky
angkat,"lift, raise"
angkutan,transportation
angsa,goose
anjing,dog
anjuran,"advice, recommendation"
antar,"deliver, between"
antara,between
antri,"queue, line up"
anugrah,"blessing, gift"
anyaman,"weaving, woven"
apa kabar,how are you
apa,what
apel,apple; roll call
api unggun,campfire
api,fire
arah,direction
arahkan,"aim, point"
arena,arena
ari,placenta
arsitektur,architecture
arti,meaning
asa,hope
asam,sour
asap,smoke
asapnya,its smoke
asin,salty
asli,"original, genuine"
asosiasi,association
asrama,dormitory
astaga,oh my
asuh,"care for, foster"
atap,roof
atapnya,its roof
atas,"above, top"
atasan,"superior, boss"
atasnya,on top of it
atau,or
atlet,athlete
atom,atom
atur,"arrange, organize"
aturan,"rule, regulation"
awal,beginning
awan,cloud
awas,"watch out, beware"
ayah,"father, dad"
ayam,chicken
ayo,"come on, let's"
bab,"chapter, section"
babak,"round, stage"
babat,"clear, slash"
baca,read
badai,storm
badut,clown
bagaimana,how
bagasi,luggage
bagi,"for, divide"
bagian,part
bagus,"good, nice"
bahagia,happy
bahan,"material, ingredient"
bahasa asing,foreign language
bahasa,language
bahaya,danger
bahkan,even (emphasis)
bahtera,ark
bahu membahu,cooperate
bahu,shoulder
baik baik saja,fine
baik hati,kind-hearted
baik,good
baja,steel
baju,"shirt, clothes"
bak,"like, as; tub, basin"
bakal,"will, going to"
bakar,"burn, grill"
bakat,talent
bakti,devotion
balai,"hall, public building"
balap,race
balas,"reply, respond"
balik,"reverse, return"
balon,balloon
bambu,bamboo
ban,tire
banci,census; transgender (informal)
bandara,airport
banding,compare
bang,brother (informal)
banget,very (informal)
bangga,proud
bangkit,"rise, get up"
bangkrut,bankrupt
bangku,bench
bangsa,nation
bangun,"wake up, build"
bangunan,building
banjar,community hall (Balinese)
bantal,pillow
banten,"ceremonial offering (Balinese)"
banteng,bull
bantu,"help, assist"
bantuan,"help, assistance"
banyak,many
bapak,"father, sir"
barang,"goods, thing, item"
barat,west
baratdaya,southwest
baratlaut,northwest
baris,"line, row"
barisan,"row, line, ranks"
baru,"new, just"
basa-basi,small talk
basah,wet
basi,stale
basket,basketball
basmi,exterminate
bata,brick
batalkan,cancel/undo
batang,"stem, trunk, bar"
batu,"stone, rock"
batuk,cough
bau,"smell, odor"
bawaan,"innate, default"
bawah tanah,underground
bawah,"below, bottom"
bawang,onion
baya,"age (as in paruh baya, middle-aged)"
bayam,spinach
bayar,pay
bayi,baby
bea,"fee, duty"
beasiswa,scholarship
beban,"burden, load"
bebas,free
bebek,duck
beberapa,some
becak,pedicab
beda,different
bedah,surgery
bedak,powder
begitu,"so, like that, such"
bekas,"former, used; mark, trace"
bekerja,work
bel,"bell, doorbell"
bela,"defend, champion"
belah,"split, half"
belajar,learn
belakang,behind
belakangmu,behind you
belanja,shopping
beli,buy
belok,turn (direction)
belokan,turn
belum,not yet
benang,thread
benar,"right, correct, true"
bencana,disaster
benci,hate
benda,"object, thing"
bendera,flag
bendungan,dam
bengkel,workshop
bengkok,bent
bensin,gasoline
bentar,"split gate (Balinese)"
benteng,fort
bentuk,"shape, form"
ber,(prefix: intransitive verb)
berada,to be located
berakhir,end
berani,brave
berapa,how much/many
beras,rice (uncooked)
berat,heavy
berawan,cloudy
berbagai,various
berbahaya,dangerous
berbaring,lie down
berbeda,different
berbelanja,go shopping
berbicara,speak
bercakap,to converse
bercerai,divorce
berdebat,debate
berdiri,stand
berdoa,pray
berenang,swim
bergabung,join
bergerak,move
bergerak-gerak,moving around repeatedly
bergoyang,swaying
berguna,useful
berharap,hope
berhasil,succeed
berhembus,to blow
berhenti,stop
beri,give
berikan,"give, hand over"
berikat,bundled
beringin,banyan tree
berisi,contain
berita,news
beritahu,"tell, inform"
berjalan,walk
berjanji,promise
berjuang,struggle
berkas,"file, document"
berkat,"blessing, thanks to"
berkata,say
berkembang,develop
berkokok,to crow (rooster)
berkumpul,to gather
berlaku,"apply, be valid"
berlari,run
berlebihan,excessive
bermacam-macam,various
bermain,play
bermakna,meaningful
bermimpi,dream (verb)
bernafas,breathe
bernama,named
bernilai,valuable
berpakaian,dressed
bersabar,be patient
bersama,"together, with"
bersandar,to lean against
bersatu,unite
bersedia,willing
bersih,clean
bersihkan,clean (verb)
bersinar,to shine
bertahan,endure
bertanya,ask
bertemu,meet
bertengkar,quarrel
berteriak,"to yell, scream"
berterima kasih,be grateful
berterima,to give thanks (used in berterima kasih)
bertindak,act
beruang,bear (animal)
beruntung,lucky
berwarna,colored
besar,"big, large"
besaran,magnitude
besi,iron
besok,tomorrow
betul,"correct, true"
bhuta,"spirit of the lower realm (Balinese)"
biasanya,usually
biaya,"cost, fee"
bibi,aunt
bibit,"seed, seedling"
bicara,"speak, talk"
bidang,"field, area"
bidik,aim
bijak,wise
bilamana,when (formal)
bimbang,hesitant
binatang,animal
bingung,confused
bintang,star
biro,bureau
biru,blue
bisa,"can, able to"
bisik,whisper
bisnis,business
bisu,mute
blok,block
bocah,"child, kid"
bocor,leak
bohong,lie
bolak-balik,back and forth
boleh,may
bom,bomb
bos,boss
bosan,bored
botol,bottle
boyong,move (relocate)
brahma,"Brahma (Hindu creator god)"
bu,"ma'am, Mrs."
buah,fruit
buah-buahan,fruits
buang,"throw away, discard"
bubar,disperse
budak,slave
budaya,culture
bujuk,persuade
buka,open
bukan,not (for nouns)
bukit,hill
buku,book
bulan,month
bulat,round
bulu,"feather, fur"
bumbu,spice
bunga,"flower, interest"
bunuh,kill
bunyi,sound
bupati,regent
bursa,"exchange, market"
buruk,bad
burung,bird
bus,bus
busuk,rotten
buta,blind
butir,"grain, item"
butirnya,its grains
butuh,need
cabai,chili
cabang,"branch, chapter"
cacat,"defect, disability"
cadangan,"reserve, backup"
cagar,reserve
cahaya,light
cair,liquid
cairan,"liquid, fluid"
cakap,"capable, chat"
calun,candidate
cambuk,whip
campur,mix
campuran,mixture
canang,"small offering (Balinese)"
candi bentar,"split gate (Balinese temple entrance)"
candi,ancient temple
candu,"opium, addiction"
canggih,sophisticated
cangkir,"cup, mug"
cangkok,transplant
cantik,"beautiful, pretty"
capung,dragonfly
cara,way
cari,search
cat,paint
catat,"note, record"
cedera,injury
cek,check
cekatan,nimble
celaka,"unlucky, disaster"
celana,pants
celurit,sickle
cemburu,jealous
cemerlang,brilliant
cenderamata,souvenir
cenderung,"tend to, inclined"
cengkeram,grip
cepat,fast
cerah,"bright, clear"
ceramah,lecture
cerdas,"smart, intelligent"
cerewet,fussy
ceria,cheerful
cerita,story
ceritakan,"narrate, tell a story"
cermat,"meticulous, careful"
cermin,mirror
cewek,girl (informal)
cicak,house lizard
cicipi,taste (try)
cincin,ring
cinta,love
cipta,"create, creation"
cita-cita,"dream, aspiration"
cium,"smell, kiss"
coba,try
cocok,"suitable, match"
cokelat,brown
contoh,example
cowok,boy (informal)
cuaca,weather
cuci,wash
cuit,tweet
cuka,vinegar
cukup,enough
cuma,only
curang,cheat
curhat,confide
curiga,suspicious
cuti,leave (time off)
daerah,"area, region"
daftar,"list, register"
dagangan,wares
daging,meat
dah,already (informal)
dahulu,"before, formerly"
dalam,"inside, deep"
dalih,excuse
damai,peace
dampak,impact
dampingi,accompany
dan,and
dana,fund
danau,lake
dangkal,shallow
dapat,"can, get, obtain"
dapur,kitchen
darah,blood
daratan,mainland
dari,from
darimana,from where
daripada,than
darurat,emergency
dasar,"base, basis"
dasi,necktie
datang,come
dataran tinggi,highlands
daun,leaf
daya,"power, energy"
debat,debate
debu,dust
deh,(informal particle)
dekat,near
dekati,approach
dekorasi,decoration
delapan,eight
demam,fever
demi,for the sake of
denah,"floor plan, layout"
denda,fine (penalty)
dendam,grudge
dengan,with
dengar,hear
dengarkan,listen to
denyut,pulse
depan,front
depresi,depression
deras,"heavy, swift (rain/flow)"
derek,"crane, tow truck"
dermaga,dock
dermawan,generous
desa,village
desain,design
deteksi,detect
detik,second (time)
dewasa,"adult, mature"
dewi,goddess
di,"in, at, on"
dia,"he, she"
dialog,dialogue
didik,educate
diganggu,disturbed
dikit,a little (informal)
dilarang,forbidden
dimana,where
dimensi,dimension
dinding,wall
dindingnya,its wall
dingin,cold
dini,early
dipakai,to be used
dipanen,to be harvested
dipersembahkan,being offered
diplomasi,diplomacy
diri,self
dirikan,establish
disiplin,discipline
diskon,discount
distribusi,distribution
ditopang,to be supported
doa,prayer
doang,"only, just (informal)"
dokter,doctor
dompet,wallet
donasi,donation
dong,(emphasis particle)
dongeng,"fairy tale, story"
dongkrak,jack (lift)
dorong,push
drama,drama
drastis,drastic
dua,two
duduk,sit
duduki,occupy
duga,"guess, suspect"
duit,money
