aber,but
acht,eight
achtzehn,eighteen
achtzig,eighty
adler,eagle
aehm,um / erm
aendern,to change
affe,monkey
alle,all
alles,everything
als,than / as
alt,old
am,at the
an,at / on
and,and (English loanword)
andere,other
anderen,other (declined)
anderes,other (neuter)
anfangen,to begin
anhang,appendix / attachment
ankommen,to arrive
antwort,answer
antworten,to answer
apfel,apple
april,April
arbeit,work / job
arbeiten,to work
arm,arm / poor
ass,ate
auch,also / too
auf,on / open
aufmachen,to open
aufstehen,to get up
aufzuschauen,to look up (infinitive)
august,August
aus,out / from
ausgang,exit
ausgeschaltet,switched off
ausland,abroad
aussen,outside
auto,car
außen,outside
aß,ate
bad,bath
badezimmer,bathroom
baecker,baker
bahnhof,train station
bald,soon
ball,ball
banane,banana
bauen,to build
baum,tree
beenden,to end / quit
beendet,ended / finished
befindest,find yourself (reflexive)
befindet,finds himself/itself
beginnt,begins
bei,at / near / with
beide,both
beispiel,example
bekommen,to receive / to get
bekommt,receives / gets
benutzen,to use
beobachtung,observation
berg,mountain
berlin,Berlin
beruf,profession
besser,better
best,best
bett,bed
bier,beer
bild,picture / image
bilder,pictures
bildschirm,screen
billig,cheap
bis,until
bist,are (2nd person sing.)
bitte,please
bitten,to ask
blau,blue
bleiben,to stay
blume,flower
blut,blood
boden,floor / ground
brauchen,to need
braun,brown
brief,letter
bringen,to bring
brot,bread
bruder,brother
buch,book
buecher,books
buehne,stage
bus,bus
butter,butter
bäcker,baker
bücher,books
bühne,stage
computer,computer
cool,cool
da,there
dabei,there / thereby
dafuer,for that
dafür,for that
damit,with it / so that
danach,after that
danken,to thank
dann,then
darauf,on it
das,the / that (neuter)
dass,that (conj.)
deckel,lid / cover
dein,your (informal)
deinem,to your
dem,to the (m/n dat.)
den,the (m acc. / dat. pl.)
denken,to think
denn,because / for
der,the (m nom.)
des,of the (m/n gen.)
deutsch,German
deutschland,Germany
dezember,December
dich,you (accusative)
die,the (f. / pl.)
dienstag,Tuesday
dies,this
diese,this (fem./pl.)
dieser,this (masc.)
dieses,this (neuter)
ding,thing
dir,to you
doch,yet / however / but
donnerstag,Thursday
doppelt,double
dort,there
drei,three
dreissig,thirty
dreizehn,thirteen
dreißig,thirty
drinnen,inside
druck,pressure
druecke,press (imperative)
druecken,to press
drücke,press (imperative)
drücken,to press
du,you (informal)
dumm,stupid
dunkel,dark
durch,through
durst,thirst
eben,just / simply
ecke,corner
ei,egg
eigentlich,actually
ein,one / a (m/n)
eine,a (fem.)
einem,to a (m/n)
einen,a (m accusative)
einige,some
einmal,once
eins,one
einzige,only (adj.)
eis,ice / ice cream
elf,eleven
eltern,parents
ende,end
endlich,finally
eng,narrow
entferntesten,farthest
enthaelt,contains
enthält,contains
entschuldigung,excuse me / apology
er,he
erde,earth
erst,first
erworbenen,acquired (declined)
es,it
essen,to eat / food
etwas,something
euch,you (plural acc./dat.)
euer,your (plural)
fahren,to drive / to go
fahrrad,bicycle
fallen,to fall
familie,family
fangen,to catch
farbe,color
fell,fur / pelt
fenster,window
fern,far
fernsehen,television / to watch TV
fernseher,television set
fernsehprogramm,TV programme
feuer,fire
finden,to find
findest,find (2nd sing.)
findet,finds
finger,finger
fisch,fish
flasche,bottle
fleisch,meat
fliegen,to fly
flucht,escape
flur,hallway / corridor
fluss,river
fragen,to ask
frau,woman / Mrs
frei,free
freitag,Friday
freund,friend (m)
freundin,friend (f) / girlfriend
frisch,fresh
froh,happy / glad
frueh,early
fruehling,spring
früh,early
frühling,spring
fuenf,five
fuenfzehn,fifteen
fuenfzig,fifty
fuer,for
fuesse,feet
fünf,five
fünfzehn,fifteen
fünfzig,fifty
für,for
füße,feet
gabel,fork
ganz,whole / completely
garten,garden
gast,guest
geben,to give
gegen,against / around
gehen,to go / to walk
gehst,go (2nd sing.)
geht,goes
gelb,yellow
geld,money
gerade,straight / just now
gern,gladly
geschenk,gift
geschichte,story / history
gespraech,conversation
gespräch,conversation
geste,gesture
gestern,yesterday
gesund,healthy
getraenk,drink / beverage
getränk,drink / beverage
glas,glass
glauben,to believe
gleich,same / equal / in a moment
glueck,luck / happiness
glück,luck / happiness
gold,gold
grau,gray
gross,big / large / tall
grosses,big (n declined)
groß,big / large / tall
großes,big (n declined)
gruen,green
grunzt,grunts
grün,green
gucken,to look (colloq.)
guckt,looks (colloq.)
gut,good
gute,good (declined)
haar,hair
haben,to have
haenden,hands (dative pl.)
halb,half
halle,hall
hallo,hello
hals,neck / throat
haltestelle,bus stop
hand,hand
handbuchs,of the handbook (genitive)
hast,have (2nd sing.)
hat,has
haus,house
hausaufgabe,homework
haustuer,front door
haustür,front door
heft,booklet / notebook
heiss,hot
heissen,to be called
heiß,hot
heißen,to be called
helfen,to help
hell,light / bright
herausbekommen,to find out / to figure out
herbst,autumn
herr,Mr / gentleman
herz,heart
heute,today
hier,here
hilfe,help
himmel,sky / heaven
hin,there (motion away)
hinten,behind
hinter,behind (prep.)
hoch,high
hoeren,to hear
hoffnung,hope
holen,to fetch / to get
holz,wood
hose,trousers
hund,dog
hungrig,hungry
händen,hands (dative pl.)
hören,to hear
ich,I
ich selber mich,I / myself / me
ihm,him (dative)
ihn,him (accusative)
ihnen,to you (formal) / to them
ihr,her / your (plural) / you (plural)
im,in the
immer,always
in,in
ins,into (in + das)
interessant,interesting
ja,yes
jacke,jacket
jahr,year
jahre,years
jahreszeit,season
januar,January
jeder,every / each
jener,that (distal)
jetzt,now
juli,July
jung,young
junge,boy
juni,June
kaffee,coffee
kalt,cold
kann,can (1/3 sing.)
kann sein,maybe
karte,map / card / ticket
katze,cat
kaufen,to buy
kein,no / none (m/n)
keinen,none (m acc.)
kennen,to know (a person)
kette,chain
kind,child
kino,cinema
kirche,church
klar,clear / of course
kleidung,clothing
klein,small
kleine,small (f. / pl.)
koennen,can / to be able
komisch,strange / funny
kommen,to come
kopf,head
kuchen,cake
kurz,short
können,can / to be able
lachen,to laugh
laesst,lets / allows
laeuft,runs / walks / is playing
lampe,lamp
land,country / land
lang,long
lassen,to let / to leave
laufen,to run / to walk
leben,life / to live
legen,to lay / to put
legst,put (2nd sing.)
lehrer,teacher (m)
lehrerin,teacher (f)
leicht,easy / light
leider,unfortunately
lernen,to learn
lesen,to read
leute,people
licht,light
liebe,love / dear
lieben,to love
liegt,lies / is located
lustig,funny
lässt,lets / allows
läuft,runs / walks / is playing
mach,make / do (imperative)
machen,to make / to do
mal,time(s) / once
mann,man
markt,market
matrose,sailor
mauer,wall (outside)
meer,sea
mehr,more
mein,my (m/n)
meine,my (f. / pl.)
meiner,my (m. dative)
mensch,human / person
messer,knife
miete,rent
milch,milk
mit,with
mitte,middle
mittwoch,Wednesday
monat,month
mond,moon
montag,Monday
morgen,morning / tomorrow
muede,tired
muessen,must / to have to
mund,mouth
